    ,nome                                     ,qtde   ,unidade ,vl_unit ,vl_total ,conta_despesa                                       ,data_transacao
 17 ,CENOURA KG                               , 0.45  ,KG      ,  9.99  ,    4.49 ,SUPERMERCADOS FESTVAL                               ,27/03/2022 18:58:49
 18 ,TOMATE KG                                , 0.555 ,KG      , 13.99  ,    7.76 ,SUPERMERCADOS FESTVAL                               ,27/03/2022 18:58:49
 19 ,ABACATE KG                               , 0.905 ,KG      ,  7.99  ,    7.23 ,SUPERMERCADOS FESTVAL                               ,27/03/2022 18:58:49
 20 ,MAC.RENATA COVOS NINHO 2 500GR           , 1.0   ,UN      ,  5.49  ,    5.49 ,SUPERMERCADOS FESTVAL                               ,27/03/2022 18:58:49
 21 ,MAC.TODESCHINI COVOS PENA 500GR          , 1.0   ,UN      ,  3.89  ,    3.89 ,SUPERMERCADOS FESTVAL                               ,27/03/2022 18:58:49
 22 ,QUEIJO TIROLEZ MUSS.KG                   , 0.096 ,KG      , 39.9   ,    3.83 ,SUPERMERCADOS FESTVAL                               ,27/03/2022 18:58:49
 23 ,ACUCAR UNIAO REF.1KG                     , 1.0   ,UN      ,  4.29  ,    4.29 ,SUPERMERCADOS FESTVAL                               ,02/04/2022 16:32:53
 24 ,CHOC.NESTLE 90G L3P2                     , 1.0   ,UN      , 11.98  ,   11.98 ,SUPERMERCADOS FESTVAL                               ,02/04/2022 16:32:53
 25 ,MARG.DORIANA SSAL 500GR                  , 1.0   ,UN      ,  7.89  ,    7.89 ,SUPERMERCADOS FESTVAL                               ,02/04/2022 16:32:53
 26 ,QUEIJO POLENGHI A QUEIJ.PARMENTINO KG    , 0.2   ,KG      , 85.9   ,   17.18 ,SUPERMERCADOS FESTVAL                               ,02/04/2022 16:32:53
 27 ,LEITE COND.FRIMESA TP.395GR              , 1.0   ,UN      ,  5.99  ,    5.99 ,SUPERMERCADOS FESTVAL                               ,02/04/2022 16:32:53
 28 ,ACHOC.NESCAU 370GR                       , 1.0   ,UN      ,  6.99  ,    6.99 ,SUPERMERCADOS FESTVAL                               ,02/04/2022 16:32:53
 29 ,ETANOL COMUM                             ,17.575 ,l       ,  5.69  ,  100.0  ,POSTO FAROL DO PARQUE                               ,06/04/2022 06:31:38
 30 ,MINI ENROLADINHO DE SALSICHA KG          , 0.136 ,KG      , 34.98  ,    4.76 ,SUPERMERCADO JACOMAR LTDA                           ,04/04/2022 12:51:14
 31 ,SONHO DOCE LEITE KG                      , 0.14  ,KG      , 27.98  ,    3.92 ,SUPERMERCADO JACOMAR LTDA                           ,04/04/2022 12:51:14
 32 ,SANDUICHE NAT.FRANGO JACOMAR KG          , 0.18  ,KG      , 27.98  ,    5.04 ,SUPERMERCADO JACOMAR LTDA                           ,04/04/2022 12:51:14
 33 ,PAO QUEIJO RICO PALADAR P.KG             , 0.162 ,KG      , 25.98  ,    4.21 ,SUPERMERCADO JACOMAR LTDA                           ,04/04/2022 12:51:14
 34 ,GOIABADA KG                              , 0.332 ,KG      , 14.48  ,    4.81 ,SUPERMERCADO JACOMAR LTDA                           ,04/04/2022 12:51:14
 35 ,VINAGRE ARROZ CASTELO 750ML              , 1.0   ,UN      ,  6.98  ,    6.98 ,SUPERMERCADO JACOMAR LTDA                           ,04/04/2022 12:51:14
 36 ,CHA MATTE LEAO 40G C25 ORIGINAL          , 1.0   ,CX      ,  3.98  ,    3.98 ,SUPERMERCADO JACOMAR LTDA                           ,04/04/2022 12:51:14
 37 ,CHA PRETO LEAO 16G C10                   , 1.0   ,UN      ,  3.89  ,    3.89 ,SUPERMERCADO JACOMAR LTDA                           ,04/04/2022 12:51:14
 38 ,SALGADINHOS RIZOLLI KG                   , 0.35  ,KG      , 44.9   ,   15.72 ,CONDOR SUPER CENTER LTDA                            ,30/03/2022 16:27:12
 39 ,SACO PLIXO DOVER ROLL REC.ROLO 50L C20   , 1.0   ,UN      , 24.9   ,   24.9  ,CONDOR SUPER CENTER LTDA                            ,30/03/2022 16:27:12
 40 ,Cheddar ALC                              , 1.0   ,UN      , 12.9   ,   12.9  ,ARCOS DOURADOS COMERCIO DE ALIMENTOS SA             ,06/04/2022 18:13:10
 41 ,Quarterao ALC                            , 1.0   ,UN      , 12.9   ,   12.9  ,ARCOS DOURADOS COMERCIO DE ALIMENTOS SA             ,06/04/2022 18:13:10
 42 ,PAO FRANCES KG                           , 0.522 ,KG      , 11.99  ,    6.25 ,SUPERMERCADOS FESTVAL                               ,08/03/2022 20:24:45
 43 ,BATATA PALHA YOKI EXTRA FINA 100GR       , 1.0   ,UN      ,  5.99  ,    5.99 ,SUPERMERCADOS FESTVAL                               ,08/03/2022 20:24:45
 44 ,EASY DRINKS FRUTAS VERMELHAS 100G        , 1.0   ,UN      , 10.99  ,   10.99 ,SUPERMERCADOS FESTVAL                               ,08/03/2022 20:24:45
 45 ,MILHO KNORR.LT.170GR                     , 1.0   ,UN      ,  3.49  ,    3.49 ,SUPERMERCADOS FESTVAL                               ,08/03/2022 20:24:45
 46 ,VODKA SMIRNOFF 998ML                     , 1.0   ,UN      , 32.9   ,   32.9  ,SUPERMERCADOS FESTVAL                               ,08/03/2022 20:24:45
 47 ,FIO DENTAL JOHNSON ESSENCIAL MENTA 100M  , 1.0   ,UN      , 11.99  ,   11.99 ,SUPERMERCADOS FESTVAL                               ,08/03/2022 20:24:45
 48 ,MAC CHEESE SEARA TRAD.300GR              , 1.0   ,UN      ,  9.69  ,    9.69 ,SUPERMERCADOS FESTVAL                               ,18/02/2022 20:50:11
 49 ,SUCO FESTVAL LIMONADA 900ML              , 1.0   ,UN      ,  4.99  ,    4.99 ,SUPERMERCADOS FESTVAL                               ,18/02/2022 20:50:11
 50 ,BANANA CATURRA KG                        , 0.705 ,KG      ,  3.99  ,    2.81 ,SUPERMERCADOS FESTVAL                               ,18/02/2022 20:50:11
 51 ,COLA SUPER BONDER PRECISAO 5GR           , 1.0   ,UN      , 15.99  ,   15.99 ,SUPERMERCADOS FESTVAL                               ,18/02/2022 20:50:11
 52 ,CERV.EISENBAHN PILSEN LN.355ML L6P5      , 1.0   ,UN      , 19.95  ,   19.95 ,SUPERMERCADOS FESTVAL                               ,18/02/2022 20:50:11
