data,link
2022-05-09T09:43:04-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220530275160000104650010002614261002616786|2|1|1|405BF7D782084E321BF6D556E47077E335A18A15"
2022-05-09T09:45:26-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220578413325001750650660000140581816146930|2|1|1|2CA13A2DFFEC82B6F5380D6ED1D625CF9D2E691E"
2022-05-09T09:50:37-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220476189406002250651120003812701181531410|2|1|1|476ED4267450EA193B64F673B7A599A668B992DB"
2022-05-09T09:56:08-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220576189406002250651160003910901081932515|2|1|1|8172512119B92F5F4BBCF8D1E4FF617D304FD593"
2022-05-10T21:29:23-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220540261482000158650050000000311000004611|2|1|2|188828E28D90F6C4E39B933CE8788A5A7C2AC94D"
2022-05-11T18:06:56-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220576189406002250651120003843381111803190|2|1|1|71D6EC51A26D3613905986AF8AB0A40EFBDF1F26"
2022-05-20T12:50:18-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220578413325001750650720000975681036179674|2|1|1|1F3ABAAFB4D9EA87D8B8A5B03689DA76451D4793"
2022-05-21T12:30:23-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220576618891000106650030001457241003549592|2|1|1|DFCE215F4B85A4C6D1FA4905EED6AB91EAB93D00"
2022-05-24T17:56:12-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220519951933000192650050003305971861578665|2|1|2|EA8210DB6028C36D118AC4EC30FCB4F7DBEE9F09"
2022-05-25T18:06:01-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220576430438011530650190000009981019025785|2|1|1|DB2CEC671AF6D1BD2C7E2BA83A20ABFBF994C915"
2022-05-26T07:30:27-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220578116670001480650030003989181004856212|2|1|1|74892E69E0967D9676CF9A761DA97BD191629722"
2022-05-26T07:32:07-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220578413325001750650680000755661225257186|2|1|1|60029BB9F6BDD45E3D4E1221D333F0FE047B9B18"
2022-05-27T13:24:59-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220578413325001750650710000898551740322524|2|1|1|D5D91A93AE46B1C9673B4E3A0B91B11C0158CBF5"
2022-05-30T14:33:48-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220578413325001750650710000900881697143635|2|1|1|8F59F48C89393FBEE062A0FB9088C8E19562178A"
2022-05-30T19:46:03-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220510302127000461651040000404941300540514|2|1|1|33CCF197AA611C5C23317BD6E019E3037F076255"
2022-06-01T15:27:19-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220678413325001750650740000647541332329801|2|1|1|1C71CED7A4E0F6E9BB002580D392755249A0A0B5"
2022-06-01T16:25:50-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220678413325001750650740000647541332329801|2|1|1|1C71CED7A4E0F6E9BB002580D392755249A0A0B5"
2022-06-01T16:26:12-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220678413325001750650740000647541332329801|2|1|1|1C71CED7A4E0F6E9BB002580D392755249A0A0B5"
2022-06-01T16:27:07-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220678413325001750650740000647541332329801|2|1|1|1C71CED7A4E0F6E9BB002580D392755249A0A0B5"
2022-06-01T16:27:33-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220678413325001750650740000647541332329801|2|1|1|1C71CED7A4E0F6E9BB002580D392755249A0A0B5"
2022-06-01T16:28:14-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220678413325001750650740000647541332329801|2|1|1|1C71CED7A4E0F6E9BB002580D392755249A0A0B5"
2022-06-01T16:31:43-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220678413325001750650740000647541332329801|2|1|1|1C71CED7A4E0F6E9BB002580D392755249A0A0B5"
2022-06-01T16:34:27-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220678413325001750650740000647541332329801|2|1|1|1C71CED7A4E0F6E9BB002580D392755249A0A0B5"
2022-06-01T16:37:57-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220678413325001750650740000647541332329801|2|1|1|1C71CED7A4E0F6E9BB002580D392755249A0A0B5"
2022-06-02T09:04:31-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220676430438011530650130000025061013087011|2|1|1|CC4CE24A39DD06734D7E9D3BEE1B911466F92018"
2022-06-02T20:01:20-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220678413325001750650740000647541332329801|2|1|1|1C71CED7A4E0F6E9BB002580D392755249A0A0B5"
2022-06-02T20:02:10-03:00,"http://www.fazenda.pr.gov.br/nfce/qrcode?p=41220678413325001750650740000647541332329801|2|1|1|1C71CED7A4E0F6E9BB002580D392755249A0A0B5"
